review,cleaned_review
Really nice cab sauv,really nice cab sauv
Nice and light!,nice and light
citrus oak pear peach melon cream butter lemon apple honey,citrus oak pear peach melon cream butter lemon apple honey
Served this wine at my wedding. A really lovely wine I’ll be drinking for years to come.,served this wine at my wedding a really lovely wine ill be drinking for years to come
citrus oak pear lemon minerals stone grass straw banana,citrus oak pear lemon minerals stone grass straw banana
"So many tropical flavors with clear oak usage to provide complexity.

Pale lemon color. Grass, pear, grapefruit, green apple skin, pineapple, white blossom, and nectarine nose. Dry. High acidity. Cream, pineapple, lychee, vanilla, and lime zest.","so many tropical flavors with clear oak usage to provide complexity

pale lemon color grass pear grapefruit green apple skin pineapple white blossom and nectarine nose dry high acidity cream pineapple lychee vanilla and lime zest"
"Light golden color. Nose: pear, pineapple, cotton candy & and bit of sage. Mouth: pineapple, pear, modest residual sugar, medium+ acid & a hint of bitterness. A long pear & sage finish.

ABV 14%. I think this is from the Maefield Estate Vineyard. Varietals: Sauvignon Blanc Shenandoah (Clone 1) - 67% & Sauvignon Musque- 33%. 5 mos in French oak (18% new) with batonnage 2x/wk. Definitely better after at least an hour slow-ox. Wine Spectator 95.","light golden color nose pear pineapple cotton candy  and bit of sage mouth pineapple pear modest residual sugar medium acid  a hint of bitterness a long pear  sage finish

abv 14 i think this is from the maefield estate vineyard varietals sauvignon blanc shenandoah clone 1  67  sauvignon musque 33 5 mos in french oak 18 new with batonnage 2xwk definitely better after at least an hour slowox wine spectator 95"
"Color: Light yellow
Viscosity: High
Aromas: Mango, Tropical, Guava, Honey, Pineapple, Mineral melon 
Tannins: None
Acidity: Medium
Alcohol: 14.0%.
Grape Varietal: 100% Sauvignon Blanc
Impression: Not much herbaceousness typical of Sauvignon Blanc. Tropical and easy to drink.","color light yellow
viscosity high
aromas mango tropical guava honey pineapple mineral melon 
tannins none
acidity medium
alcohol 140
grape varietal 100 sauvignon blanc
impression not much herbaceousness typical of sauvignon blanc tropical and easy to drink"
"Sauvignon Blanc from Russian River, Sonoma 🇺🇸 While I acknowledge this a wine with good complexity, the intense oaky aromas/flavors are overwhelming. It reminds me an oaky Chardonnay. Full-bodied with M acidity.",sauvignon blanc from russian river sonoma  while i acknowledge this a wine with good complexity the intense oaky aromasflavors are overwhelming it reminds me an oaky chardonnay fullbodied with m acidity
"Bare naked ladies 4th vintage (not today😂). It's hot here for mid-October, mid 80sF (30C). SB helped🥵. Structured, complex & aromatic; the vintage I've enjoyed the most so far.

Pale yellow👁, aromas of elderflower, pineapple🍍, melon, citrus zest & the barest😉 hint of green herbs.

Dry but ripe. Round & lush palate, med-full body (14%). Balanced by the crisp, med(+)acidity.

Unctuous palate of white peach🍑, quince & lychee. Vanilla & a sprinkle of white pepper mid👅. Chalky slate finish with a saline edge.","bare naked ladies 4th vintage not today its hot here for midoctober mid 80sf 30c sb helped structured complex  aromatic the vintage ive enjoyed the most so far

pale yellow aromas of elderflower pineapple melon citrus zest  the barest hint of green herbs

dry but ripe round  lush palate medfull body 14 balanced by the crisp medacidity

unctuous palate of white peach quince  lychee vanilla  a sprinkle of white pepper mid chalky slate finish with a saline edge"
